Title,Artist,Year,Ranking,URL,Lyrics
Fortunate Son,Creedence Clearwater Revival,1969,99,https://www.genius.com/Creedence-Clearwater-Revival-Fortunate-Son-lyrics," some folks are born made to wave the flag ooh, they re red, white and blue and when the band plays  hail to the chief ooh, they point the cannon at you, lord it ain t me, it ain t me i ain t no senator s son, son it ain t me, it ain t me i ain t no fortunate one, no some folks are born silver spoon in hand lord, don t they help themselves, no but when the taxman come to the door lord, the house lookin  like a rummage sale, yeah it ain t me, it ain t me i ain t no millionaire s son, no, no it ain t me, it ain t me i ain t no fortunate one, no yeah, some folks inherit star-spangled eyes ooh, they send you down to war, lord and when you ask  em,  how much should we give?  ooh, they only answer,  more, more, more, more it ain t me, it ain t me i ain t no military son, son, lord it ain t me, it ain t me i ain t no fortunate one, one it ain t me, it ain t me i ain t no fortunate one, no, no, no it ain t me, it ain t me i ain t no fortunate son, no, no, no it ain t me, it ain t me"
Crazy,Gnarls Barkley,2004,100,https://www.genius.com/Gnarls-Barkley-Crazy-lyrics," i remember when i remember, i remember when i lost my mind there was something so pleasant about that place even your emotions have an echo in so much space, mm and when you re out there without care yeah, i was out of touch but it wasn t because i didn t know enough i just knew too much, mm does that make me crazy? does that make me crazy? does that make me crazy? possibly and i hope that you are having the time of your life but think twice, that s my only advice, mm come on now, who do you who do you, who do you, who do you think you are? ha, ha, ha, bless your soul you really think you re in control? well, i think you re crazy i think you re crazy i think you re crazy just like me my heroes had the heart to lose their lives out on the limb and all i remember is thinkin  i wanna be like them, mhm ever since i was little ever since i was little, it looked like fun and it s no coincidence i ve come and i can die when i m done but maybe i m crazy maybe you re crazy maybe we re crazy probably mm-woah, ooh ooh, woo-ooh ooh, ooh ooh-hoo, mhm"
You Can't Always Get What You Want,The Rolling Stones,1969,101,https://www.genius.com/The-Rolling-Stones-You-Cant-Always-Get-What-You-Want-lyrics," i saw her today at the reception a glass of wine in her hand i knew she would meet her connection at her feet was a foot-loose man no, you can t always get what you want you can t always get what you want you can t always get what you want but if you try sometime you ll find you get what you need i saw her today at the reception a glass of wine in her hand i knew she was gonna meet her connection at her feet was a footloose man you can t always get what you want you can t always get what you want you can t always get what you want but if you try sometimes well, you might find you get what you need ahh, yeah-h-h oh and i went down to the demonstration to get my fair share of abuse singing,  we re gonna vent our frustration if we don t, we re going to blow a 50-amp fuse sing it to me, honey you can t always get what you want you can t always get what you want you can t always get what you want but if you try sometimes well, you just might find you get what you need ah baby, yeah ahh i went down to the chelsea drugstore to get your prescription filled i was standing in line with mr. jimmy and, man, did he look pretty ill we decided that we would have a soda my favorite flavor, cherry red i sung my song to mr. jimmy yeah, and he said one word to me, and that was  dead i said to him: you can t always get what you want, well no you can t always get what you want, i tell you, baby you can t always get what you want, no but if you try sometime you just might find, uh, mm you get what you need, oh yeah, woo! woo! you get what you need, yeah, ow baby ah yeah i saw her today at the reception in her glass was a bleeding man she was practiced at the art of deception well, i could tell by her blood-stained hands sing it you can t always get what you want, yeah you can t always get what you want, ooh yeah, child you can t always get what you want but if you try sometime, you just might find you just might find, you get what you need, ah yeah ah yeah, wooh! ah, you can t always get what you want you can t always get what you want you can t always get what you want...mmm but if you try sometime, you just might find you just might find that you get what you need ah yeah! ah yeah!  do that"
Voodoo Child (Slight Return),The Jimi Hendrix Experience,1968,102,https://www.genius.com/The-Jimi-Hendrix-Experience-Voodoo-Child-Slight-Return-lyrics," well, i stand up next to a mountain and i chop it down with the edge of my hand well, i stand up next to a mountain and i chop it down with the edge of my hand well, i pick up all the pieces and make an island might even raise a little sand yeah because i m a voodoo child lord knows i m a voodoo child, baby i want to say one more last thing i didn t mean to take up all your sweet time i ll give it right back to ya one of these days, hahaha i said i didn t mean to take up all your sweet time i ll give it right back one of these days, oh yeah if i don t meet you no more in this world i ll meet you in the next one, and don t be late don t be late because i m a voodoo child, voodoo child lord knows i m a voodoo child, baby i m a voodoo child, baby i don t take no for an answer question no lord knows i m a voodoo child, baby"
Be-Bop-A-Lula,Gene Vincent,1956,103,https://www.genius.com/Gene-Vincent-Be-Bop-A-Lula-lyrics," well be-bop-a-lula, she s my baby be-bop-a-lula, i don t mean maybe be-bop-a-lula, she s my baby be-bop-a-lula, i don t mean maybe be-bop-a-lula, she s my baby doll my baby doll, my baby doll well, she s the girl in the ripped blue jeans she s the queen of all the teens she s the woman that i know she s the woman that loves me so say, be-bop-a-lula, she s my baby be-bop-a-lula, i don t mean maybe be-bop-a-lula, she s, she s my baby doll my baby doll, my baby doll rock and roll well, now she s the woman that s got that beat uh, he s the woman with the flying feet uh. she s the one that walks around the store she s the one that gives more, more, more, more be-bop-a-lula, she s my baby be-bop-a-lula, i don t mean maybe be-bop-a-lula, she s my baby doll my baby doll, my baby doll well, be-bop-a-lula, she s my baby be-bop-a-lula, i don t mean maybe be-bop-a-lula, she s my baby be-bop-a-lula, i don t mean maybe be-bop-a-lula, she s my baby doll my baby doll, my baby doll"
Hot Stuff,Donna Summer,1979,104,https://www.genius.com/Donna-Summer-Hot-Stuff-lyrics," sittin  here eatin  my heart out waitin waitin  for some lover to call dialed about a thousand numbers lately almost rang the phone off the wall lookin  for some hot stuff, baby, this evenin i need some hot stuff, baby, tonight i want some hot stuff, baby, this evenin gotta have some hot stuff, gotta have some love tonight i need hot stuff i want some hot stuff i need hot stuff lookin  for a lover who needs another don t want another night on my own wanna share my love with a warm-blooded lover wanna bring a wild man back home gotta have some hot love, baby, this evenin i need some hot stuff, baby, tonight i want some hot stuff, baby, this evenin gotta have some lovin , gotta have love tonight i need hot stuff hot love, lookin  for hot love hot, hot, hot, hot stuff hot, hot, hot hot, hot, hot, hot stuff hot, hot, hot how s about some hot stuff, baby, this evenin ? i need some hot stuff baby, tonight gimme a little hot stuff, baby, this evenin hot stuff, baby, gonna need your love tonight i need hot love lookin  for hot stuff, wanna have hot love sittin  here eatin  my heart out, no reason won t spend another night on my own i dialed about a hundred numbers lately i m bound to find somebody home gonna have some hot stuff, baby, this evenin i need some hot stuff, baby, tonight lookin  for my hot stuff, baby, this evenin need some lovin , baby, gonna need your love tonight hot stuff, baby, this evenin i need some hot stuff, baby, tonight, yeah, yeah i want some hot stuff, baby, this evenin i want some hot stuff, baby, tonight, yeah, yeah, yeah, yeah, now hot stuff, baby i need your hot stuff, baby, tonight i want your hot stuff, baby, this evenin hot stuff, baby, gonna need your love tonight"
Living for the City,Stevie Wonder,1973,105,https://www.genius.com/Stevie-Wonder-Living-for-the-City-lyrics," a boy is born in hard time mississippi surrounded by four walls that ain t so pretty his parents give him love and affection to keep him strong, moving in the right direction living just enough, just enough for the city his father works some days for fourteen hours and you can bet, he barely makes a dollar his mother goes to scrub the floors for many and you d best believe, she hardly gets a penny living just enough, just enough for the city da da da, da da da da da da da da la la la da da da da da da da la la his sister s black, but she is sho  nuff pretty her skirt is short, but lord her legs are sturdy to walk to school, she s got to get up early her clothes are old, but never are they dirty living just enough, just enough for the city  her brother s smart, he s got more sense than many his patience s long, but soon he won t have any to find a job is like a haystack needle cause where he lives they don t use colored people living just enough, just enough for the city da da da, da da da da da da da da la la la da da da da da da da la la living for the city, yeah ain t nothing but a city, eee living for the city, yeah yeah nothing but a city, eee live for the city, yeah yeah the funky, crowded city ah, live for the city ain t nothing but a city, woo everybody clap their hands together now, woo hmm, for the city yeah for the city, yeah yeah for the city, yeah da da da, da da da da da da da da la la la da da da da da da da la la bus for new york city! hey, bus driver!  i m getting on there, hold it. thanks a lot. wow, new york, just like i pictured it. skyscrapers and everything. hey, hey brother, hey come here slick. hey you look, you look hip man. hey, you wanna make yourself five bucks man?  you look hip, run this across the street for me right quick. okay, run this across the street for me. what?  huh?  i didn t know!  what? gimme your hands up you punk! i m just going across the street. put that leg up, shut your mouth. hell no, what did i do? okay, turn around, turn around. put your hands behind your back, let s go, let s go. a jury of your peers having found you guilty, ten years. what? come on, come on, get in that cell, nig​ger. god, lord. his hair is long, his feet are hard and gritty he spends his life walking the streets of new york city he s almost dead from breathing in air pollution he tried to vote but to him there s no solution living just enough, just enough for the city i hope you hear inside my voice of sorrow and that it motivates you to make a better tomorrow this place is cruel, nowhere could be much colder if we don t change, the world will soon be over living just enough, stop giving just enough for the city da da da, da da da da da da da da la la la da da da da da da da la la da da da, da da da da da da da da la la la da da da da da da da la la da da da, da da da da da da da da la la la da da da da oh, oh oh lo lo lo lo, lo lo lo lo, lo lo lo lo"
The Boxer,Simon and Garfunkel,1969,106,https://www.genius.com/Simon-and-Garfunkel-The-Boxer-lyrics," i am just a poor boy, though my story s seldom told i have squandered my resistance for a pocketful of mumbles such are promises all lies and jest still a man hears what he wants to hear and disregards the rest, hmm when i left my home and my family i was no more than a boy in the company of strangers in the quiet of the railway station runnin  scared, laying low seeking out the poorer quarters, where the ragged people go looking for the places only they would know lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie asking only workman s wages i come lookin  for a job but i get no offers just a come-on from the whores on 7th avenue i do declare, there were times when i was so lonesome i took some comfort there, la la la la la la la now the years are rolling by me they are rockin  evenly i am older than i once was and younger than i ll be; that s not unusual nor is it strange after changes upon changes we are more or less the same after changes we are more or less the same lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie and i m laying out my winter clothes and wishing i was gone goin  home where the new york city winters aren t bleeding me leading me going home in the clearing stands a boxer and a fighter by his trade and he carries the reminders of every glove that laid him down or cut him till he cried out in his anger and his shame i am leaving, i am leaving , but the fighter still remains lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie lie la lie, lie la lie la lie la lie lie la lie, lie la lie la lie la lie, la la lie la lie i love you"
Mr. Tambourine Man,Bob Dylan,1965,107,https://www.genius.com/Bob-Dylan-Mr-Tambourine-Man-lyrics," hey, mr. tambourine man, play a song for me i m not sleepy, and there is no place i m going to hey, mr. tambourine man, play a song for me in the jingle jangle mornin  i ll come followin  you though i know that evening s empire has returned into sand vanished from my hand left me blindly here to stand, but still not sleeping my weariness amazes me, i am branded on my feet i have no one to meet and my ancient empty street s too dead for dreaming hey, mr. tambourine man, play a song for me i m not sleepy, and there is no place i m going to hey, mr. tambourine man, play a song for me in the jingle jangle mornin  i ll come followin  you take me on a trip upon your magic swirlin  ship my senses have been stripped, my hands can t feel to grip my toes too numb to step, wait only for my boot heels to be wandering i m ready to go anywhere, i m ready for to fade into my own parade, cast your dancin  spell my way i promise to go under it hey, mr. tambourine man, play a song for me i m not sleepy, and there is no place i m going to hey, mr. tambourine man, play a song for me in the jingle jangle mornin  i ll come followin  you though you might hear laughing, spinning, swinging madly across the sun it s not aimed at anyone, it s just escaping on the run and but for the sky there are no fences facing and if you hear vague traces of skipping reels of rhyme to your tambourine in time, it s just a ragged clown behind i wouldn t pay it any mind it s just a shadow you re seeing that he s chasing hey, mr. tambourine man, play a song for me i m not sleepy, and there is no place i m going to hey, mr. tambourine man, play a song for me in the jingle jangle mornin  i ll come followin  you and take me disappearing through the smoke rings of my mind down the foggy ruins of time, far past the frozen leaves the haunted, frightened trees, out to the windy beach far from the twisted reach of crazy sorrow yes, to dance beneath the diamond sky with one hand waving free silhouetted by the sea, circled by the circus sands with all memory and fate driven deep beneath the waves let me forget about today until tomorrow hey, mr. tambourine man, play a song for me i m not sleepy, and there is no place i m going to hey, mr. tambourine man, play a song for me in the jingle jangle mornin  i ll come followin  you"
Not Fade Away,Buddy Holly,1957,108,https://www.genius.com/Buddy-Holly-Not-Fade-Away-lyrics," i m a-going to tell you how it s going to be you re gonna give your love to me i want to love you night and day you know my love will not fade away a-well, you know my love will not fade away my love a-bigger than a cadillac i try to show it and you drive a-me back your love for me got to be real for you to know just how i feel a love for real, not fade away i m a-going to tell you how it s going to be you re gonna give your love to me i want to love you night and day you know my love will not fade away a-well, you know my love will not fade away"
Little Red Corvette,Prince,1983,109,https://www.genius.com/Prince-Little-Red-Corvette-lyrics," i guess i should ve known by the way you parked your car sideways that it wouldn t last see, you re the kinda person that believes in makin  out once love  em and leave  em fast i guess i must be dumb  cause you had a pocket full of horses trojan and some of them used but it was saturday night, i guess that makes it all right and you say,   what have i got to lose?  and, honey, i say, little red corvette baby, you re much too fast little red corvette you need a love that s gonna last i guess i should ve closed my eyes when you drove me to the place where your horses run free cause i felt a little ill when i saw all the pictures of the jockeys that were there before me believe it or not, i started to worry i wondered if i had enough class but it was saturday night, i guess that makes it all right and you say,  baby, have you got enough gas?  oh, yeah! little red corvette baby, you re much too fast little red corvette you need to find a love that s gonna last ooh, oooh, oooh ooh, oooh, oooh a body like yours oughta be in jail cause it s on the verge of bein  obscene move over, baby, gimme the keys i m gonna try to tame your little red love machine little red corvette baby, you re much too fast little red corvette need to find a love that s gonna last, hey hey little red corvette honey, you got to slow down little red corvette cause if you don t, you re gonna run your little red corvette right in the ground right down to the ground you, you, you got to slow down you re movin  much too fast, too fast need to find a love that s gonna last girl, you got an ass like i never seen, ow! and the ride i say the ride is so smooth, you must be a limousine ow! baby, you re much too fast little red corvette you need a love, you need a love that s, uh, that s gonna last babe, you got to slow down little red corvette cause if you don t,  cause if you don t you re gonna run your body right into the ground right into the ground right into the ground little red corvette"
Brown Eyed Girl,Van Morrison,1967,110,https://www.genius.com/Van-Morrison-Brown-Eyed-Girl-lyrics," hey, where did we go? days when the rains came down in the hollow playin  a new game laughin  and a-runnin , hey, hey skippin  and a jumpin in the misty morning fog with our, our hearts a thumpin and you, my brown-eyed girl you, my brown-eyed girl whatever happened to tuesday and so slow? going down the old mine with a transistor radio standing in the sunlight laughing hiding behind a rainbow s wall slipping and sliding all along the waterfall with you, my brown-eyed girl you, my brown-eyed girl do you remember when we used to sing sha-la-la-la-la-la-la-la-la-la-la-tee-da? just like that sha-la-la-la-la-la-la-la-la-la-la-tee-da la-tee-da so hard to find my way now that i m all on my own i saw you just the other day my, how you have grown cast my memory back there, lord sometimes i m overcome thinking about making love in the green grass behind the stadium with you, my brown-eyed girl you, my brown-eyed girl do you remember when we used to sing sha-la-la-la-la-la-la-la-la-la-la-tee-da?  sha-la-la-la-la-la-la-la-la-la-la-tee-da sha-la-la-la-la-la-la-la-la-la-la-la-tee-da sha-la-la-la-la-la-la-la-la-la-la-la-tee-da"
I've Been Loving You too Long (to Stop Now),Otis Redding,1965,111,https://www.genius.com/Otis-Redding-Ive-Been-Loving-You-too-Long-to-Stop-Now-lyrics," i ve been loving you too long to stop now you are tired and you want to be free my love is growing stronger as you become a habit to me ooh, i ve been loving you too long i don t wanna stop now, oh with you my life has been so wonderful i can t stop now you are tired and your love is growing cold my love is growing stronger as our affair, affair grows old i ve been loving you, oh too long to stop now, oh, oh oh i ve been loving you a little too long i don t wanna stop now, oh, oh don t make me stop now oh, baby i m down on my knees please, don t make me stop now i love you, i love you, i love you with all my heart and i can t stop now please, please, please don t make me stop now talkin   bout heart and soul that i love you i love you"
I'm So Lonesome I Could Cry,Hank Williams,1949,112,https://www.genius.com/Hank-Williams-Im-So-Lonesome-I-Could-Cry-lyrics," hear that lonesome whippoorwill he sounds too blue to fly the midnight train is whining low i m so lonesome i could cry i ve never seen a night so long when time goes crawling by the moon just went behind the clouds to hide its face and cry did you ever see a robin weep when leaves begin to die? like me, he s lost the will to live i m so lonesome i could cry the silence of a falling star lights up a purple sky and as i wonder where you are i m so lonesome i could cry"
That's All Right,Elvis Presley,1954,113,https://www.genius.com/Elvis-Presley-Thats-All-Right-lyrics," well, that s all right, mama that s all right for you that s all right, mama, just anyway you do well, that s all right, that s all right that s all right now, mama, anyway you do well, mama, she done told me papa done told me too“son, that girl you re fooling with she ain t no good for you”but that s all right, that s all right that s all right now, mama, anyway you do i m leaving town, baby i m leaving town for sure well, then you won t be bothered with me hanging around your door but that s all right, that s all right that s all right now, mama, anyway you do ah da da dee dee dee dee, dee dee dee dee, dee dee dee dee i need your lovin that s all right that s all right now, mama, anyway you do"
Up on the Roof,The Drifters,1962,114,https://www.genius.com/The-Drifters-Up-on-the-Roof-lyrics," when this old world starts getting me down and people are just too much for me to face i climb way up to the top of the stairs and all my cares just drift right into space on the roof, it s peaceful as can be and there, the world below can t bother me let me tell you now, when i come home feeling tired and beat i go up where the air is fresh and sweet i get away from the hustlin  crowds and all that rat race noise down in the street on the roof s the only place i know where you just have to wish to make it so let s go up on the roof at night, the stars put on a show for free and, darling, you can share it all with me i keep-a tellin  you-a right smack dab in the middle of town i found a paradise that s trouble-proof and if this world starts getting you down there s room enough for two up on the roof  up on the roof oh, come on, baby oh, come on, honey everything is all right "
You Send Me,Sam Cooke,1957,115,https://www.genius.com/Sam-Cooke-You-Send-Me-lyrics," darling, you send me i know you send me darling, you send me honest you do, honest you do honest you do, whoa-oh you thrill me i know you, you, you thrill me darling you, you, you, you thrill me honest you do at first i thought it was infatuation but woo, it s lasted so long now i find myself wanting to marry you and take you home, whoa-oh you, you, you, you send me i know you send me i know you send me honest you do whoa, whenever i m with you i know, i know, i know when i m near you mhm, mhm, honest you do, honest you do whoa, i know i know, i know, i know, when you hold me whoa-oh, whenever you kiss me mhm, mhm, honest you do at first i thought it was infatuation but woo, it s lasted so long now i find myself wanting to marry you and take you home i know, i know, i know, you send me i know you send me whoa-oh, you, you, you, you send me honest you do "
Honky Tonk Women,The Rolling Stones,1969,116,https://www.genius.com/The-Rolling-Stones-Honky-Tonk-Women-lyrics," i met a gin-soaked barroom queen in memphis she tried to take me upstairs for a ride she had to heave me right across her shoulder cause i just can t seem to drink you off my mind it s the honky tonk women that gimme, gimme, gimme the honky tonk blues i laid a divorcee in new york city i had to put up some kind of a fight the lady then she covered me in roses she blew my nose and then she blew my mind it s the honky tonk women that gimme, gimme, gimme the honky tonk blues strollin  on the boulevards of paris naked as the day that i will die the sailors, they re so charming there in paris but i just don t seem to sail you off my mind it s the honky tonk women that gimme, gimme, gimme the honky tonk blues it s the honky tonk women that gimme, gimme, gimme the honky tonk blues"
Take Me to the River,Al Green,1974,117,https://www.genius.com/Al-Green-Take-Me-to-the-River-lyrics," i d like to dedicate this song to little junior parker a cousin of mine who s gone on, but we d like to kinda carry on in his name i sing i don t know why i love you like i do after all these changes that you put me through you stole my money and my cigarettes and i haven t seen hide nor hair of you yet i wanna know, won t you tell me am i in love to stay? take me to the river and wash me down won t you cleanse my soul?  put my feet on the ground i don t know why she treated me so bad look at all the things that we could have had love is a notion that i can t forget my sweet sixteen i will never regret i wanna know, won t you tell me am i in love to stay?  hold me, love me, please me, tease me till i can t, till i can t, can t take no more take me to the river i don t know why i love you like i do after all the things that you put me through the sixteen candles are burning on my wall turning me into the biggest fool of them all i wanna know, can t you tell me am i in love to stay? i wanna know take me to the river i wanna know want you to dip me in the water i wanna know won t you wash me in the water? wash me in the water wash me in the water won t you wash me in the water? feeling good"
Crazy in Love,Beyonce,2003,118,https://www.genius.com/Beyonce-Crazy-in-Love-lyrics," yes so crazy right now most incredibly it s your girl, b it s your boy, young you ready? uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no ch-yeah history in the making part two it s so crazy right now i look and stare so deep in your eyes i touch on you more and more every time when you leave, i m beggin  you not to go call your name two, three times in a row such a funny thing for me to try to explain how i m feelin , and my pride is the one to blame  cause i know i don t understand just how your love can do what no one else can got me looking so crazy right now your love s got me looking so crazy right now got me looking so crazy right now your touch got me looking so crazy right now got me hoping you ll page me right now your kiss got me hoping you ll save me right now looking so crazy, your love s got me looking got me looking so crazy in love uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no uh-oh, uh-oh, uh-oh, oh no, no when i talk to my friends so quietly look at what you did to me tennis shoes, don t even need to buy a new dress if you ain t there, ain t nobody else to impress it s the way that you know what i thought i knew it s the beat that my heart skips when i m with you but i still don t understand just how your love can do what no one else can got me looking so crazy right now your love s got me looking so crazy right now got me looking so crazy right now your touch got me looking so crazy right now got me hoping you ll page me right now your kiss got me hoping you ll save me right now looking so crazy, your love s got me looking got me looking so crazy in love i m looking so crazy, your love s got me looking got me looking so crazy in love young hov, y all know when the flow is loco young b and the r-o-c, uh-oh o.g. big homie, the one and only stick bony, but the pockets is fat like tony soprano the r oc handle like van exel i shake phonies, man, you can t get next to the genuine article, i do not sing, though i sling, though, if anything, i bling, yo a star like ringo, war like a green beret you crazy?  bring your whole set j ay-z in the range, crazy and deranged they can t figure him out, they like,  hey, is he insane?  yes, sir, i m cut from a different cloth my texture is the best fur, chinchilla i ve been iller than chain smokers how you think i got the name hova? i been realer, the game s over fall back, young ever since i made the change over to platinum the game s been a wrap, one got me looking so crazy, my baby i m not myself lately, i m foolish, i don t do this i ve been playing myself, baby, i don t care cause your love s got the best of me and, baby, you re making a fool of me you got me sprung and i don t care who sees cause baby, you got me, you got me you got me so crazy, baby got me looking so crazy right now your love s got me looking so crazy right now got me looking so crazy right now your touch got me looking so crazy right now got me hoping you ll page me right now your kiss got me hoping you ll save me right now looking so crazy, your love s got me looking got me looking so crazy in love got me looking so crazy right now your love s got me looking so crazy right now got me looking so crazy right now your touch got me looking so crazy right now got me hoping you ll page me right now your kiss got me hoping you ll save me right now looking so crazy, your love s got me looking got me looking so crazy in love"
Shout (Pt 1 and 2),The Isley Brothers,1959,119,https://www.genius.com/The-Isley-Brothers-Shout-Pt-1-and-2-lyrics," well you know you make me wanna kick my heels up and throw my hands up and throw my head back and come on now don t forget to say you will don t forget to say yeah, yeah, yeah, yeah, yeah say it right now, baby come on, come on say that you come on now say that you love me say that you need me say that you want me you wanna please me come on now come on now come on now  i still remember when you used to be nine years old yeah-yeah! i was a fool for you, from the bottom of my soul, yeah now that you ve grown, up enough to know, yeah, yeah you wanna leave me, you wanna, let me go i want you to know i said i want you to know right now, yeah you been good to me baby better than i been to myself, hey, hey an if you ever leave me i don t want nobody else, hey, hey i said i want you to know-ho-ho-hey i said i want you to know right now, hey, hey you know you make me wanna hey-yeah yeah-yeah-yeah all right all right come on now come on now yeah, yeah, yeah yeah, yeah, yeah  yeah, yeah, yeah  yeah, yeah, yeah  all-alright  all-alright  all-alright  all-alright shout! now wait a minute!  i feel alright! now that i got my woman i feel alright! every time i think about you you been so good to me you know you make me wanna lift my heels up and throw my head back and kick my heels up and come on now take it easy take it easy take it easy  a little bit softer now  a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now a little bit softer now  a little bit louder now a little bit louder now a little bit louder now  a little bit louder now a little bit louder now a little bit louder now a little bit louder now  a little bit louder now  a little bit louder now  a little bit louder now  a little bit louder now  a little bit louder now hey-hey-a-hey hey-a-hey-a hey-a-hey-a hey-a-a-hey jump now! jump up and shout now jump up and shout now jump up and shout now jump up and shout now jump up and shout now everybody shout now everybody shout now everybody, shout, shout shout, shout, shout shout, shout, shout shout, shout, shout shout, shout, shout, shout shout, shout, shout, shout shout, shout, shout, shout everybody shout now shout, shout, shout..."
Go Your Own Way,Fleetwood Mac,1977,120,https://www.genius.com/Fleetwood-Mac-Go-Your-Own-Way-lyrics," loving you isn t the right thing to do how can i ever change things that i feel? if i could, maybe i d give you my world how can i when you won t take it from me? you can go your own way, go your own way you can call it another lonely day you can go your own way, go your own way tell me why everything turned around packing up, shacking up s all you wanna do if i could, baby, i d give you my world open up, everything s waiting for you you can go your own way, go your own way you can call it another lonely day you can go your own way, go your own way you can go your own way, go your own way you can call it another lonely day, another lonely day you can go your own way, go your own way you can call it another lonely day, another lonely day you can call it another lonely day, another lonely day you can call it another lonely day, another lonely day you can call it another lonely day, oh, yeah, oh, yeah you can call it another lonely day lonely day"
I Want You Back,The Jackson 5,1969,121,https://www.genius.com/The-Jackson-5-I-Want-You-Back-lyrics," uh-huh huh huh huh let me tell ya now uh-huh when i had you to myself, i didn t want you around those pretty faces always made you stand out in a crowd but someone picked you from the bunch, one glance was all it took now, it s much too late for me to take a second look oh, baby, give me one more chance won t you please let me oh, darlin , i was blind to let you go but now, since i see you in his arms yes, i do now ooh, ooh, baby yeah, yeah, yeah, yeah na, na, na, na tryin  to live without your love is one long sleepless night let me show you, girl, that i know wrong from right every street you walk on, i leave tear stains on the ground followin  the girl, i didn t even want around let me tell you now oh, baby, all i need is one more chance won t you please let me oh, darlin , i was blind to let you go but now, since i see you in his arms, uh-huh a buh buh buh buh a buh buh buh buh, all i want a buh buh buh buh, all i need a buh buh buh buh, all i want a buh buh buh buh, all i need oh, just one more chance to show you that i love you baby!  baby! baby!  baby! baby!  baby! i want you back forget what happened then i want you back let me live again oh, baby, i was blind to let you go but now, since i see you in his arms i want you back spare me of this  cause gimme back what i lost oh, baby, i need one more chance, ha i tell ya that i love you oh!   oh!   oh! i want you back! forget what happened then i want you back! and let me live again oh, i want you back!  ha! "
Stand By Me,Ben E. King,1961,122,https://www.genius.com/Ben-E-King-Stand-By-Me-lyrics," when the night has come and the land is dark and the moon is the only light we ll see no, i won t be afraid oh, i won t be afraid just as long as you stand, stand by me so darlin , darlin , stand by me oh, stand by me oh, stand stand by me, stand by me if the sky that we look upon should tumble and fall or the mountains should crumble to the sea i won t cry, i won t cry no, i won t shed a tear just as long as you stand, stand by me and darlin , darlin , stand by me oh, stand by me woah, stand now stand by me, stand by me darlin , darlin , stand by me oh, stand by me oh, stand now stand by me, stand by me whenever you re in trouble, won t you stand by me? oh, stand by me woah, just stand now oh, stand, stand by me"
The House of the Rising Sun,The Animals,1964,123,https://www.genius.com/The-Animals-The-House-of-the-Rising-Sun-lyrics," there is a house in new orleans they call the rising sun and it s been the ruin of many a poor boy and god, i know i m one my mother was a tailor she sewed my new blue jeans my father was a gamblin  man down in new orleans now the only thing a gambler needs is a suitcase and a trunk and the only time he s satisfied is when he s on a drug oh, mothers, tell your children not to do what i have done spend your lives in sin and misery in the house of the rising sun well, i got one foot on the platform the other foot on the train i m goin  back to new orleans to wear that ball and chain well, there is a house in new orleans they call the rising sun and it s been the ruin of many a poor boy and god, i know i m one"
It's A Man's Man's Man's World,James Brown,1966,124,https://www.genius.com/James-Brown-Its-A-Mans-Mans-Mans-World-lyrics," this is a man s world this is a man s world but it wouldn t be nothing nothing without a woman or a girl you see, man made the cars to take us over the road man made the train to carry the heavy load man made the electric light to take us out of the dark man made the boat for the water like noah made the ark this is a man s, man s, man s world but it wouldn t be nothing nothing without a woman or a girl man thinks about our little bitty baby girls and our baby boys man make them happy cause man make them toys and after man make everything everything he can do you know that man makes money to buy from other man this is a man s world but it wouldn t be nothing, nothing not one little thing without a woman or a girl he s lost in the wilderness he s lost in bitterness he s lost, lawd have mercy now, in loneliness"
